"","Sample_ID","DataSet","Nano_4_CpG_average","Pyro_4_CpG_average","Pyro_Methylation_Status","Coverage"
"1","1501-1348","Radium",3.45238095238095,2.6925,"UnMethylated",18
"2","1501-1365","Radium",37.5,50.515,"Methylated",5
"3","1501-1375","Radium",0,2.765,"UnMethylated",7
"4","1501-1486","Radium",48.2142857142857,32.485,"Methylated",8
"5","1501-1487","Radium",12.5,3.325,"UnMethylated",3
"6","1501-1502","Radium",3.8105413105413,3.4175,"UnMethylated",31
"7","1501-1516","Radium",11.25,3.7775,"UnMethylated",6
"8","1501-1535","Radium",100,76.585,"Methylated",1
"9","1501-1634","Radium",27.3809523809524,17.725,"Methylated",10
"10","1501-1635","Radium",0,9.375,"UnMethylated",2
"11","1501-1667","Radium",45.81218679678,64.7075,"Methylated",76
"12","1501-1677","Radium",0,1.5675,"UnMethylated",5
"13","1501-1700","Radium",0,3.0175,"UnMethylated",41
"14","1501-1716","Radium",2.44047619047619,3.3925,"UnMethylated",27
"15","1501-1725","Radium",2.08333333333333,3.0875,"UnMethylated",13
"16","1501-1757","Radium",20.9757347915243,35.7075,"Methylated",22
"17","1501-1765","Radium",3.08517156862745,2.6075,"UnMethylated",36
"18","1501-1770","Radium",4.6875,3.4225,"UnMethylated",22
"19","1501-1772","Radium",0,2.9375,"UnMethylated",7
"20","1501-1817","Radium",22.2519841269841,15.05,"Methylated",10
"21","1501-1848","Radium",3.83522727272727,2.0925,"UnMethylated",24
"22","1501-1858","Radium",2.77777777777778,2.285,"UnMethylated",10
"23","1501-1862","Radium",43.5973700293852,51.87,"Methylated",178
"24","1501-1880","Radium",37.7840909090909,43.2275,"Methylated",28
"25","1501-1888","Radium",5.90277777777778,2.32,"UnMethylated",11
"26","1501-1992","Radium",59.3406593406593,50.2325,"Methylated",14
"27","1501-1993","Radium",1.78571428571428,2.8225,"UnMethylated",15
"28","1501-2023","Radium",0,3.1475,"UnMethylated",9
"29","1501-2159","Radium",91.394783377542,90.145,"Methylated",32
"30","1501-2347","Radium",66.1210317460317,36.9425,"Methylated",11
"31","1501-2348","Radium",5.01651747655584,2.77,"UnMethylated",54
"32","1501-2349","Radium",34.2412054912055,26.47,"Methylated",41
"33","1501-2390","Radium",5.42784163473819,3.03,"UnMethylated",32
"34","1501-2391","Radium",69.9042395360338,57.7675,"Methylated",73
"35","1501-2396","Radium",6.34469696969697,3.8475,"UnMethylated",26
"36","1501-2425","Radium",36.6550567595459,20.4175,"Methylated",45
"37","1601-0085","Radium",0,2.8075,"UnMethylated",7
"38","1601-0163","Radium",0,3.275,"UnMethylated",20
"39","1601-0227","Radium",34.1666666666667,34.0975,"Methylated",6
"40","1601-0249","Radium",0,2.475,"UnMethylated",11
"41","1601-0279","Radium",34.775641025641,40.7625,"Methylated",14
"42","1601-0353","Radium",73.2782738095238,57.67,"Methylated",31
"43","1701-2074","Radium",12.658756684492,21.7425,"Methylated",18
"44","1701-2165","Radium",94.2102581463417,77.2025,"Methylated",75
"45","1701-2275","Radium",4.0994623655914,2.075,"UnMethylated",72
"46","1701-2296","Radium",7.73809523809525,1.55,"UnMethylated",7
"47","1701-2306","Radium",3.6698717948718,1.7375,"UnMethylated",34
"48","1701-2312","Radium",6.07843137254901,2.1675,"UnMethylated",21
"49","1701-2345","Radium",11.4076858813701,1.7475,"UnMethylated",22
"50","1701-2365","Radium",14.8684954751131,12.32,"Methylated",22
"51","1701-2373","Radium",23.7103174603175,20.1025,"Methylated",11
"52","1701-2424","Radium",42.445054945055,33.12,"Methylated",30
"53","1701-2430","Radium",82.2668650793651,63.025,"Methylated",20
"54","1701-2539","Radium",2.5,1.75,"UnMethylated",11
"55","1701-2540","Radium",10.4995828469666,1.3625,"UnMethylated",51
"56","1701-2541","Radium",8.54700854700855,1.63,"UnMethylated",19
"57","1701-2545","Radium",14.9912587412587,1.405,"UnMethylated",16
"58","1701-2590","Radium",87.5,85.755,"Methylated",4
"59","1701-2595","Radium",8.33333333333333,2.235,"UnMethylated",7
"60","1701-2599","Radium",15,8.9275,"UnMethylated",7
"61","1701-2623","Radium",88.5984848484848,77.7675,"Methylated",15
"62","1701-2690","Radium",50,56.7925,"Methylated",3
"63","1701-2719","Radium",92.4725877192982,79.175,"Methylated",19
"64","1701-2769","Radium",5.51213282247765,1.7525,"UnMethylated",36
"65","1701-2777","Radium",5.33451418170088,1.6125,"UnMethylated",84
"66","1701-2950","Radium",9.16666666666667,1.7775,"UnMethylated",6
"67","T20-061","DenStem",9.88044640460603,12.6,"Methylated",135
"68","T20-106","DenStem",77.6612276612277,49.6,"Methylated",8
"69","T20-192","DenStem",26.9345643624759,17.5,"Methylated",286
"70","T20-260","DenStem",8.73847449592817,2.9,"UnMethylated",98
"71","T20-280","DenStem",37.3001026705105,71.5,"Methylated",860
"72","T21-087","DenStem",31.3888888888889,12.6,"Methylated",11
"73","T21-171","DenStem",4.97080129091789,2.5,"UnMethylated",144
"74","T21-173","DenStem",55.7392686804452,54,"Methylated",91
"75","T21-210","DenStem",15.7659739025761,6.9,"UnMethylated",523
"76","T21-214","DenStem",8.86954697977558,1.7,"UnMethylated",142
"77","T21-216","DenStem",58.8389627061001,56.1,"Methylated",80
"78","T21-224","DenStem",14.4929263817635,11.4,"Methylated",144
"79","T21-240","DenStem",52.017717870391,2.5,"UnMethylated",312
"80","T21-242","DenStem",77.2001458686241,64.5,"Methylated",87
"81","T21-270","DenStem",66.9670352170352,33.3,"Methylated",163
"82","T21-326","DenStem",15.9199769323009,17,"Methylated",194
